id,left_employee_flag,age_years,tenure_below_1yr_flag,manager_flag,climate,climate_change,question 21,question 23
217,Leaving employees,25,1,0,35.0,,,
218,Staying employees,27,0,0,88.5,,,69.0
219,Staying employees,42,0,0,49.0,5.3,20.0,99.0
220,Leaving employees,31,0,0,71.0,,,
221,Staying employees,27,0,0,100.0,,,
222,Staying employees,36,0,0,60.5,,,
223,Staying employees,31,0,0,93.9,6.7,100.0,100.0
224,Staying employees,41,0,0,99.7,-0.7,100.0,100.0
225,Staying employees,56,0,0,100.0,0.0,,
226,Staying employees,46,0,0,24.8,46.5,,84.0
227,Staying employees,34,0,0,97.9,5.0,53.0,100.0
228,Staying employees,40,0,0,43.6,11.3,16.0,71.0
229,Staying employees,33,1,0,6.3,-8.3,0.0,50.0
230,Staying employees,44,0,0,68.0,-8.7,,100.0
231,Staying employees,29,1,0,85.0,,,
232,Staying employees,22,1,0,59.3,-43.8,100.0,100.0
233,Staying employees,28,1,0,75.7,-6.7,70.0,82.0
234,Leaving employees,67,0,0,98.0,,,
235,Staying employees,35,0,0,85.3,4.3,100.0,100.0
236,Staying employees,37,1,0,97.0,4.0,100.0,100.0
237,Leaving employees,34,1,0,49.8,,,51.0
238,Staying employees,37,1,0,100.0,0.0,,
239,Staying employees,55,0,0,82.2,18.3,75.0,100.0
240,Staying employees,30,0,0,100.0,0.0,76.0,100.0
241,Staying employees,25,0,0,100.0,0.0,82.0,100.0
242,Staying employees,45,0,0,91.5,-19.0,,100.0
243,Staying employees,30,1,0,58.2,42.0,,71.0
244,Staying employees,49,0,0,83.4,10.3,64.5,100.0
245,Staying employees,47,1,0,100.0,0.0,100.0,100.0
246,Staying employees,34,0,0,77.5,0.0,94.0,100.0
247,Staying employees,35,0,0,90.6,-5.3,82.5,97.0
248,Staying employees,52,0,0,100.0,0.0,100.0,100.0
249,Staying employees,41,0,0,83.0,-0.3,94.0,98.0
250,Staying employees,54,0,0,70.6,-23.0,,
251,Staying employees,35,1,0,100.0,,,
252,Staying employees,35,0,0,98.6,3.3,100.0,100.0
253,Staying employees,47,0,1,100.0,0.0,100.0,
254,Staying employees,37,0,0,,,,
255,Staying employees,41,0,0,73.9,5.0,74.0,100.0
256,Staying employees,38,0,0,52.5,,,
257,Staying employees,37,0,0,80.8,-11.5,,100.0
258,Leaving employees,35,0,0,64.3,,,97.0
259,Leaving employees,57,0,0,99.3,2.0,100.0,100.0
260,Leaving employees,26,1,0,77.0,,,
261,Staying employees,26,0,0,17.1,6.7,0.0,10.0
262,Staying employees,50,0,0,87.5,35.0,,
263,Staying employees,63,0,0,56.5,30.0,73.0,
264,Staying employees,32,0,0,83.0,20.3,,87.5
265,Staying employees,32,0,0,79.0,-0.7,70.0,100.0
266,Staying employees,43,0,0,81.5,19.5,100.0,90.0
267,Staying employees,42,0,0,86.7,-3.0,100.0,100.0
268,Staying employees,46,0,0,99.7,0.7,100.0,100.0
269,Leaving employees,26,0,0,0.0,,,0.0
270,Staying employees,35,0,1,89.7,17.3,85.0,100.0
271,Leaving employees,36,0,0,100.0,,100.0,100.0
272,Staying employees,36,0,0,83.0,-4.7,,90.0
273,Staying employees,40,0,0,67.3,19.7,32.5,100.0
274,Staying employees,20,1,0,90.5,0.7,,100.0
275,Staying employees,30,0,0,95.0,,,
276,Staying employees,31,0,0,100.0,0.0,100.0,100.0
277,Staying employees,55,0,0,100.0,,,
278,Staying employees,48,0,0,55.4,16.3,91.0,100.0
279,Staying employees,61,0,1,96.9,4.7,100.0,100.0
280,Staying employees,36,0,0,70.0,,,
281,Staying employees,48,0,0,92.6,-7.3,100.0,100.0
282,Staying employees,31,0,0,23.8,10.5,14.0,
283,Staying employees,49,0,0,95.5,-6.0,100.0,
284,Staying employees,36,0,0,57.0,,,19.0
285,Staying employees,37,0,0,81.1,20.3,75.0,10.0
286,Staying employees,35,0,0,100.0,0.0,100.0,100.0
287,Staying employees,39,0,0,29.9,-24.7,69.0,70.0
288,Staying employees,41,0,0,58.0,,,100.0
289,Staying employees,21,1,0,100.0,0.0,,
290,Staying employees,51,0,1,100.0,0.0,100.0,100.0
291,Staying employees,46,0,0,100.0,0.0,100.0,100.0
292,Staying employees,45,0,0,98.0,-6.0,,
293,Leaving employees,18,1,0,56.5,,,0.0
294,Staying employees,34,0,0,93.9,-2.0,82.0,84.0
295,Staying employees,39,0,0,100.0,,,
296,Staying employees,40,0,0,89.4,2.0,,99.0
297,Staying employees,42,0,0,100.0,,,
298,Staying employees,43,0,0,70.8,33.0,50.0,100.0
299,Leaving employees,41,0,0,91.0,-9.7,,100.0
300,Leaving employees,40,1,0,100.0,,100.0,
301,Leaving employees,38,0,1,68.0,,50.0,50.0
302,Staying employees,64,0,0,50.8,31.3,,
303,Staying employees,32,1,0,96.7,5.7,100.0,100.0
304,Staying employees,30,0,0,62.4,9.7,10.0,
305,Staying employees,53,0,0,98.6,3.3,100.0,100.0
306,Staying employees,32,0,0,92.8,0.0,100.0,100.0
307,Staying employees,29,0,0,93.6,-1.7,100.0,
308,Staying employees,38,0,0,59.5,,,
309,Staying employees,38,0,0,40.0,16.7,,50.0
310,Staying employees,33,0,0,83.7,7.0,,100.0
311,Staying employees,45,0,0,100.0,0.0,,
312,Staying employees,29,0,0,100.0,0.0,100.0,
313,Staying employees,41,0,0,64.6,1.7,0.0,30.0
314,Leaving employees,31,0,0,30.2,-34.0,,0.0
315,Leaving employees,29,0,0,92.3,,100.0,
316,Staying employees,35,1,0,98.8,0.0,100.0,100.0
317,Staying employees,26,0,0,89.7,14.7,0.0,60.0
318,Staying employees,58,0,0,92.7,3.0,,100.0
319,Staying employees,37,0,0,78.0,5.0,50.0,71.0
320,Staying employees,57,0,0,100.0,0.0,100.0,100.0
321,Staying employees,33,0,0,81.1,8.3,81.0,100.0
322,Staying employees,30,1,0,74.6,-0.7,,85.0
323,Staying employees,32,0,0,99.5,-1.0,,
324,Staying employees,61,0,0,92.7,-11.0,100.0,
325,Staying employees,32,0,0,76.0,34.7,72.0,100.0
326,Staying employees,50,0,0,95.7,-2.0,80.0,100.0
327,Staying employees,34,0,0,98.4,1.3,100.0,100.0
328,Staying employees,45,0,0,50.0,-39.3,9.0,84.0
329,Staying employees,53,0,0,82.3,25.0,96.0,100.0
330,Staying employees,31,0,0,90.8,-18.3,0.0,100.0
331,Staying employees,52,0,0,50.7,-48.7,55.0,100.0
332,Staying employees,27,0,0,89.3,7.0,90.0,100.0
333,Staying employees,32,0,0,83.7,25.0,,100.0
334,Staying employees,29,0,0,79.1,2.3,,25.0
